# v011b ui-web 翻译批次（translator-a · t17）：forward batch1.tsv(ui 153) + batch2.tsv(website+docs 35) 全处置 + F7 家族 + 扫描盲区
# 列：scope<TAB>source<TAB>target<TAB>anchor(可选)；source 按长度降序（长串优先，契约 §4.7）
# 词条 82 条（ui 77 / website 4 / docs 1）；skip 121 条见 skip.tsv
# 占位符 ${...}/{...} 与 \n/\r\n 转义原样保留；无空格裸词条全部带 anchor
docs	- [x] Stash: create (whole tree or chosen files), apply, pop (one click from the toolbar), drop; stashes as rows in the graph with their own node and menu; apply single files from a stash · Tags: create (annotated/lightweight), delete, checkout · Submodules: list & update	- [x] 暂存：创建（整棵树或所选文件）、应用、弹出（工具栏一键）、丢弃；暂存作为提交图中的行，带有自己的节点与菜单；可从暂存中应用单个文件 · 标签：创建（附注/轻量）、删除、检出 · 子模块：列出与更新
website	Angkor Git (AngKorGit) is a fast, free, open-source Git 客户端 and Git GUI for macOS, Windows, and Linux, built native with Tauri v2, Rust and libgit2. Visual commit graphs, side-by-side diff review, visual conflict resolution, and AI assistance.	Angkor Git (AngKorGit) 是一款快速、免费、开源的 Git 客户端与 Git GUI，适用于 macOS、Windows 和 Linux，基于 Tauri v2、Rust 与 libgit2 原生构建。可视化提交图、并排 diff 审查、可视化冲突解决与 AI 辅助。
ui	${leftovers.length} change${leftovers.length === 1 ? '' : 's'} could not be discarded (${listed}). Submodule changes must be discarded inside the submodule repository.	${leftovers.length} 个更改无法丢弃（${listed}）。子模块的更改必须在子模块仓库内丢弃。
ui	Every staged file goes back to the last commit, unstaged edits to those files included, and new files are deleted. This cannot be undone — not even with ⌘Z.	每个已暂存的文件都会回到最后一次提交，这些文件的未暂存编辑也一并还原，新文件会被删除。此操作无法撤销——即使按 ⌘Z 也不行。
ui	These files go back to the last commit — staged and unstaged changes alike. New files are deleted. This cannot be undone.	这些文件将回到最后一次提交——已暂存与未暂存的更改都会一并还原。新文件会被删除。此操作无法撤销。
ui	The file goes back to the last commit — its staged and unstaged changes are both reverted. This cannot be undone.	该文件将回到最后一次提交——其已暂存与未暂存的更改都会被还原。此操作无法撤销。
ui	All changes in these files will be reverted. Untracked files among them are deleted. This cannot be undone.	这些文件中的所有更改将被还原，其中的未跟踪文件会被删除。此操作无法撤销。
ui	This ${forgeNoun(forgeRemote?.kind)} cannot be checked out from AngKorGit — open it in the browser instead.	无法从 AngKorGit 检出此${forgeNoun(forgeRemote?.kind)}——请改在浏览器中打开。
ui	${remaining.length} staged change${remaining.length === 1 ? '' : 's'} could not be discarded: ${listed}	${remaining.length} 个已暂存更改无法丢弃：${listed}
ui	This file is new — discarding removes it from the index and deletes the file. This cannot be undone.	该文件是新增文件——丢弃会将其从索引中移除并删除文件。此操作无法撤销。
ui	${leftovers.length} change${leftovers.length === 1 ? '' : 's'} could not be discarded: ${listed}	${leftovers.length} 个更改无法丢弃：${listed}
ui	Only these ${stashPaths.length} files are stashed. Everything else stays in your working copy.	仅这 ${stashPaths.length} 个文件被暂存，其余内容保留在工作副本中。
ui	${local.ahead} commit${local.ahead === 1 ? '' : 's'} only on the local branch will be lost.	${local.ahead} 个提交仅存在于本地分支，将被丢弃。
ui	AngKorGit error report\n\n${error?.name}: ${error?.message}\n\n${error?.stack ?? ''}	AngKorGit 错误报告\n\n${error?.name}: ${error?.message}\n\n${error?.stack ?? ''}
