# 裁决审计（t7 F3）：residual.tsv 全部 translate+verify 行的书面裁决定位。DICT=已入词库；SKIP file:line=skip 文件裁决。
test	verify	SKIP rust\skip-rust.tsv:113 [test-name]	checks out same-repo branches with tracking and fork PRs via refs/pull
rust	translate	SKIP rust\skip-rust.tsv:15 [code]	{file_header}@@ -{start},{old_count} +{start},{new_count} @@\n{body}
test	translate	SKIP rust\skip-rust.tsv:116 [fixture]	fix(ui): wrap paths\n\nLong paths bled out of dialogs.\n\nFixes #2
test	translate	SKIP rust\skip-rust.tsv:134 [fixture]	* Free Bet funding dimension. Stored and transmitted PascalCase.
rust	verify	SKIP rust\skip-rust.tsv:89 [fixture]	fix: adjust\n\nSigned-off-by: Test User <test@angkorgit.dev>
e2e	translate	SKIP rust\skip-rust.tsv:168 [fixture]	feat(worktrees): list, create and remove linked worktrees
rust	translate	SKIP rust\skip-rust.tsv:16 [code]	Revert \"{summary}\"\n\nThis reverts commit {full_oid}.
rust	translate	SKIP rust\skip-rust.tsv:33 [test-name]	checkout must refuse a branch checked out in a worktree
rust	translate	SKIP rust\skip-rust.tsv:34 [test-name]	adding a worktree for the checked-out branch must fail
test	verify	SKIP rust\skip-rust.tsv:114 [test-name]	checks out fork merge requests via refs/merge-requests
rust	translate	SKIP rust\skip-rust.tsv:35 [fixture]	feat: two\n\n(cherry picked from commit {second})\n\n
rust	translate	SKIP rust\skip-rust.tsv:36 [fixture]	feat: one\n\n(cherry picked from commit {first})\n\n
rust	translate	SKIP rust\skip-rust.tsv:25 [fixture]	diff mentioning {OUTPUT_FILE_PLACEHOLDER} literally
rust	translate	SKIP rust\skip-rust.tsv:6 [code]	unexpected http status code: 403; class=Http (34)
test	verify	SKIP rust\skip-rust.tsv:115 [test-name]	strips refs/heads and collapses unsafe characters
test	translate	SKIP rust\skip-rust.tsv:96 [fixture]	A pull request already exists for feature/thing.
website	translate	SKIP web\skip-web.tsv:4 [mock 冲突窗格中的示例代码内容]	return render(rows, { palette, animate: true });
website	translate	SKIP web\skip-web.tsv:12 [终端命令（PowerShell）]	Start-Process "$env:TEMP\\AngKorGit-setup.exe"
test	translate	SKIP rust\skip-rust.tsv:105 [fixture]	request failed: error sending request for url
meta	verify	SKIP rust\skip-rust.tsv:175 [command]	pnpm --filter @angkorgit/desktop tauri build
test	translate	SKIP rust\skip-rust.tsv:142 [fixture]	still a comment &lt;b&gt;not a tag&lt;/b&gt;
ui	translate	SKIP ui\skip-ui.tsv:32 [demo：演示模式 toast，e2e 断言引用（smoke.spec.ts:150），保持英文]	Cherry-picked ${oids.length} commits (demo)
meta	verify	SKIP rust\skip-rust.tsv:176 [command]	pnpm --filter @angkorgit/desktop tauri dev
rust	translate	SKIP rust\skip-rust.tsv:28 [test-name]	missing origin line in: {engine_message:?}
e2e	translate	SKIP rust\skip-rust.tsv:169 [demo]	Virtualized rows keep large graphs smooth
test	translate	SKIP rust\skip-rust.tsv:98 [fixture]	Another open merge request already exists
meta	verify	SKIP rust\skip-rust.tsv:177 [command]	pnpm --filter @angkorgit/website preview
website	translate	SKIP web\skip-web.tsv:6 [mock 冲突窗格中的示例代码内容]	export function drawGraph(rows: Row[]) {
meta	verify	SKIP rust\skip-rust.tsv:178 [command]	pnpm --filter @angkorgit/website images
meta	verify	SKIP rust\skip-rust.tsv:179 [command]	pnpm --filter @angkorgit/desktop tauri
meta	verify	SKIP rust\skip-rust.tsv:180 [command]	pnpm --filter @angkorgit/website build
test	translate	SKIP rust\skip-rust.tsv:128 [fixture]	line 1\nours line\ntheirs line\nline 2
rust	translate	SKIP rust\skip-rust.tsv:23 [fixture]	github.com=dara-work, gitlab.com=dara
rust	translate	SKIP rust\skip-rust.tsv:24 [fixture]	nonsense,=user,host=, GitHub.com=Dara
e2e	verify	SKIP rust\skip-rust.tsv:181 [command]	pnpm --filter @angkorgit/desktop dev
meta	verify	SKIP rust\skip-rust.tsv:181 [command]	pnpm --filter @angkorgit/desktop dev
meta	verify	SKIP rust\skip-rust.tsv:182 [command]	pnpm --filter @angkorgit/website dev
website	translate	SKIP web\skip-web.tsv:7 [mock 冲突窗格中的示例代码内容]	import { render } from './renderer';
test	translate	SKIP rust\skip-rust.tsv:144 [fixture]	\u001b[32mfeat: colored\u001b[0m \n
rust	translate	SKIP rust\skip-rust.tsv:32 [test-name]	dirty worktree must not be removed
website	translate	SKIP web\skip-web.tsv:11 [CSS 样式模板串]	aspect-ratio: ${width} / ${height}
website	translate	SKIP web\skip-web.tsv:8 [mock 冲突窗格中的示例代码内容]	const palette = useThemePalette();
rust	translate	SKIP rust\skip-rust.tsv:7 [code]	unexpected http status code: 401
rust	translate	SKIP rust\skip-rust.tsv:8 [code]	unexpected http status code: 402
