# 批次 batch3.tsv（rust + core + meta + e2e/test 其余）：translate 236 条；source 按长度降序（长串优先）
# 列：scope<TAB>source<TAB>require_anchor<TAB>sync<TAB>hint<TAB>first_loc<TAB>occurrences
core	Review this staged diff. List concrete issues (bugs, edge cases, naming, missing tests) ordered by severity. If it looks good, say so briefly.${conventions ? `\n\n${conventions}\n\n${guard}` : ''}\n\n${clip(stagedDiff)}	translate	fmt	模板串：${x}/{} 占位符必须原样保留	packages/core/src/ai/capabilities.ts:125	1
core	Write a pull request description in markdown (## Summary, ## Changes, ## Testing) for these commits and diff stat.\n\nCommits:\n${clip(commits, 8000)}\n\nDiff stat:\n${clip(diffStat, 4000)}	translate	fmt	模板串：${x}/{} 占位符必须原样保留	packages/core/src/ai/capabilities.ts:77	1
core	Explain this merge conflict in ${file} and suggest a resolution.\n\nCURRENT (ours):\n${clip(current, 8000)}\n\nINCOMING (theirs):\n${clip(incoming, 8000)}	translate	fmt	模板串：${x}/{} 占位符必须原样保留	packages/core/src/ai/capabilities.ts:64	1
core	Review this staged diff. List concrete issues (bugs, edge cases, naming, missing tests) ordered by severity. If it looks good, say so briefly.	translate	new	待译	packages/core/src/ai/capabilities.ts:125	1
core	Write a pull request description in markdown (## Summary, ## Changes, ## Testing) for these commits and diff stat.\n\nCommits:\n	translate	new	待译	packages/core/src/ai/capabilities.ts:77	1
core	Project review conventions (they win over the general ones on conflict):\n${clip(project, 4000)}	translate	fmt	模板串：${x}/{} 占位符必须原样保留	packages/core/src/ai/capabilities.ts:105	1
core	Summarize this commit history into key themes, as short bullets.\n\n${clip(commits)}	translate	fmt	模板串：${x}/{} 占位符必须原样保留	packages/core/src/ai/capabilities.ts:88	1
core	${commitStyleInstructions(style, prefix)}\n\nStaged diff:\n\n${clip(stagedDiff)}	translate	fmt	模板串：${x}/{} 占位符必须原样保留	packages/core/src/ai/capabilities.ts:34	1
core	Project review conventions (they win over the general ones on conflict):\n	translate	new	待译	packages/core/src/ai/capabilities.ts:105	1
core	Summarize this commit history into key themes, as short bullets.\n\n	translate	new	待译	packages/core/src/ai/capabilities.ts:88	1
rust	{file_header}@@ -{start},{old_count} +{start},{new_count} @@\n{body}	translate	new	Rust 字符串	apps/desktop/src-tauri/src/core/stage.rs:360	1
test	fix(ui): wrap paths\n\nLong paths bled out of dialogs.\n\nFixes #2	translate	attr-ui	属性文案（message）	tests/unit/commitMessage.test.ts:40	1
test	* Free Bet funding dimension. Stored and transmitted PascalCase.	translate	new	待译	tests/unit/highlight.test.ts:14	2
e2e	feat(worktrees): list, create and remove linked worktrees	translate	new	待译	tests/e2e/smoke.spec.ts:566	1
rust	Revert \"{summary}\"\n\nThis reverts commit {full_oid}.	translate	fmt	模板串：${x}/{} 占位符必须原样保留	apps/desktop/src-tauri/src/core/commit.rs:105	1
rust	checkout must refuse a branch checked out in a worktree	translate	new	Rust 字符串	apps/desktop/src-tauri/tests/git_engine.rs:2001	1
rust	adding a worktree for the checked-out branch must fail	translate	new	Rust 字符串	apps/desktop/src-tauri/tests/git_engine.rs:1986	1
rust	feat: two\n\n(cherry picked from commit {second})\n\n	translate	fmt	模板串：${x}/{} 占位符必须原样保留	apps/desktop/src-tauri/tests/git_engine.rs:630	1
e2e	Apply src/features/graph/GraphRow.tsx from the stash	translate	new	待译	tests/e2e/smoke.spec.ts:865	1
rust	feat: one\n\n(cherry picked from commit {first})\n\n	translate	fmt	模板串：${x}/{} 占位符必须原样保留	apps/desktop/src-tauri/tests/git_engine.rs:639	1
core	General review conventions:\n${clip(general, 4000)}	translate	fmt	模板串：${x}/{} 占位符必须原样保留	packages/core/src/ai/capabilities.ts:103	1
rust	checkout: fast-forward {local_name} to its upstream	translate	fmt	模板串：${x}/{} 占位符必须原样保留	apps/desktop/src-tauri/src/core/branch.rs:173	1
rust	diff mentioning {OUTPUT_FILE_PLACEHOLDER} literally	translate	fmt	模板串：${x}/{} 占位符必须原样保留	apps/desktop/src-tauri/src/ai_cli.rs:418	1
e2e	Select src/features/graph/CommitGraph.tsx to apply	translate	new	待译	tests/e2e/smoke.spec.ts:870	1
rust	unexpected http status code: 403; class=Http (34)	translate	new	Rust 字符串	apps/desktop/src-tauri/src/error.rs:119	1
e2e	section[aria-label^="文件差异："] div.overflow-y-auto	translate	new	待译	tests/e2e/smoke.spec.ts:179	1
test	A pull request already exists for feature/thing.	translate	new	待译	tests/unit/forge.test.ts:174	1
core	and suggest a resolution.\n\nCURRENT (ours):\n	translate	new	待译	packages/core/src/ai/capabilities.ts:64	1
rust	untracked files on {branch}: {short} {summary}	translate	fmt	模板串：${x}/{} 占位符必须原样保留	apps/desktop/src-tauri/src/core/misc.rs:122	1
test	request failed: error sending request for url	translate	new	待译	tests/unit/forge.test.ts:471	4
