# adjudication-v011b.tsv（t19 · translator-c 产出，F7-3）——audit 未覆盖的候选（misc+verify）逐条裁决
# 列：scope<TAB>verdict<TAB>裁决<TAB>source
docs	translate	BATCH v011b\misc\batch.tsv:4 [translate]	- [x] Stash: create (whole tree or chosen files), apply, pop (one click from the toolbar), drop; stashes as rows in the graph with their own node and menu; apply single files from a stash · Tags: create (annotated/lightweight), delete, checkout · Submodules: list & update
website	translate	BATCH v011b\misc\batch.tsv:5 [translate]	Angkor Git (AngKorGit) is a fast, free, open-source Git 客户端 and Git GUI for macOS, Windows, and Linux, built native with Tauri v2, Rust and libgit2. Visual commit graphs, side-by-side diff review, visual conflict resolution, and AI assistance.
core	translate	SKIP v011b\misc\skip-misc.tsv:134 [prompt]	Review this staged diff. List concrete issues (bugs, edge cases, naming, missing tests) ordered by severity. If it looks good, say so briefly.${conventions ? `\n\n${conventions}\n\n${guard}` : ''}\n\n${clip(stagedDiff)}
core	translate	SKIP v011b\misc\skip-misc.tsv:135 [prompt]	Write a pull request description in markdown (## Summary, ## Changes, ## Testing) for these commits and diff stat.\n\nCommits:\n${clip(commits, 8000)}\n\nDiff stat:\n${clip(diffStat, 4000)}
website	verify	SKIP v011b\misc\skip-misc.tsv:78 [command]	curl -L ${SITE.assetUrl(version, `AngKorGit_${version}_amd64.AppImage`)} -o ~/Downloads/AngKorGit.AppImage && chmod +x ~/Downloads/AngKorGit.AppImage && ~/Downloads/AngKorGit.AppImage
website	verify	SKIP v011b\misc\skip-misc.tsv:79 [command]	curl -L ${SITE.assetUrl(version, `AngKorGit_${version}_universal.dmg`)} -o ~/Downloads/AngKorGit.dmg && xattr -cr ~/Downloads/AngKorGit.dmg && open ~/Downloads/AngKorGit.dmg
ui	translate	BATCH v011b\misc\batch.tsv:6 [translate]	${leftovers.length} change${leftovers.length === 1 ? '' : 's'} could not be discarded (${listed}). Submodule changes must be discarded inside the submodule repository.
ui	translate	BATCH v011b\misc\batch.tsv:7 [translate]	Every staged file goes back to the last commit, unstaged edits to those files included, and new files are deleted. This cannot be undone — not even with ⌘Z.
core	translate	SKIP v011b\misc\skip-misc.tsv:136 [prompt]	Explain this merge conflict in ${file} and suggest a resolution.\n\nCURRENT (ours):\n${clip(current, 8000)}\n\nINCOMING (theirs):\n${clip(incoming, 8000)}
core	translate	SKIP v011b\misc\skip-misc.tsv:137 [prompt]	Review this staged diff. List concrete issues (bugs, edge cases, naming, missing tests) ordered by severity. If it looks good, say so briefly.
